login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
manjunath5496,manjunath5496/114-Eye-Opening-Books-About-the-Holocaust,2019-08-22T16:41:54Z,2,2,,True,True,
manjunath5496,manjunath5496/116-C-Programs,2021-10-22T12:41:19Z,8,8,,True,True,
tanaypratap,tanaypratap/ama,2019-04-18T11:04:27Z,50,50,,True,True,mit
tanaypratap,tanaypratap/buzzers,2018-10-27T03:54:33Z,2,2,JavaScript,True,True,
tanaypratap,tanaypratap/dare.neog.dev,2021-01-03T11:28:59Z,6,6,HTML,True,True,
tanaypratap,tanaypratap/docusaurus-experiments,2021-05-31T16:02:53Z,0,0,JavaScript,True,True,
tanaypratap,tanaypratap/experiments-with-jest,2021-05-14T12:15:07Z,7,7,JavaScript,True,True,
tanaypratap,tanaypratap/first-time-speakers,2020-10-02T17:45:44Z,19,19,,False,False,mit
tanaypratap,tanaypratap/fm.neog.dev,2021-01-03T08:24:30Z,4,4,JavaScript,True,True,mit
tanaypratap,tanaypratap/gradiot,2020-04-15T08:06:45Z,5,5,JavaScript,True,True,mit
tanaypratap,tanaypratap/graphql-wg,2019-04-27T02:46:03Z,1,1,,True,False,
tanaypratap,tanaypratap/io.metastartup.portfolio,2019-02-05T11:50:29Z,6,6,HTML,True,True,
tanaypratap,tanaypratap/io.metastartup.xpers,2019-02-16T06:35:47Z,4,4,HTML,True,True,
tanaypratap,tanaypratap/jobchallenge.dev,2020-03-10T08:11:58Z,1,1,HTML,True,True,mit
tanaypratap,tanaypratap/lcf-v2,2020-05-28T11:39:58Z,3,3,JavaScript,True,True,mit
tanaypratap,tanaypratap/learnCodingFree.org,2020-04-19T19:49:05Z,1,1,,True,True,mit
tanaypratap,tanaypratap/learning-deep-learning,2016-09-06T18:24:11Z,0,0,Jupyter Notebook,True,True,mit
tanaypratap,tanaypratap/mentorship-karona,2020-04-09T07:01:47Z,57,57,,True,True,mit
tanaypratap,tanaypratap/my-bootcamp-blog,2020-10-23T20:19:41Z,2,2,HTML,True,True,mit
tanaypratap,tanaypratap/my-react-router,2021-01-27T07:29:30Z,6,6,JavaScript,True,True,
tanaypratap,tanaypratap/myExpressApp,2021-10-08T05:25:38Z,1,1,JavaScript,True,True,
tanaypratap,tanaypratap/nodeschool-solutions,2016-12-03T20:54:40Z,2,2,JavaScript,True,True,mit
tanaypratap,tanaypratap/osi-slides,2019-10-17T19:47:31Z,0,0,CSS,True,True,
tanaypratap,tanaypratap/osi-workshop,2019-10-16T17:26:32Z,1,1,,True,True,
tanaypratap,tanaypratap/polaris,2018-07-08T16:30:14Z,15,15,TypeScript,True,True,mit
tanaypratap,tanaypratap/practice.android.about-me,2020-09-23T05:32:37Z,3,3,Kotlin,True,True,
tanaypratap,tanaypratap/practice.android.roll-dice,2020-09-23T05:03:34Z,0,0,Kotlin,True,True,
tanaypratap,tanaypratap/react-redux-express-starter,2016-09-13T19:52:14Z,2,2,JavaScript,True,True,mit
tanaypratap,tanaypratap/react-router,2021-04-02T18:00:58Z,0,0,,True,True,
tanaypratap,tanaypratap/react-webpack2-starter,2017-06-21T17:45:36Z,0,0,JavaScript,True,True,
tanaypratap,tanaypratap/react2025,2021-09-28T12:09:27Z,2,2,,True,False,
tanaypratap,tanaypratap/reactmeetup39,2018-11-15T14:23:48Z,2,2,JavaScript,True,True,mit
prateek27,prateek27/ai-robotics-project,2015-05-20T14:56:31Z,0,0,HTML,True,True,
prateek27,prateek27/alexnet,2019-01-17T14:33:00Z,0,0,Jupyter Notebook,True,True,
prateek27,prateek27/algo-6june-2019,2019-06-06T10:59:06Z,6,6,C++,True,True,
prateek27,prateek27/algo-9june-2019,2019-06-09T11:05:11Z,13,13,C++,True,True,
prateek27,prateek27/algo-june-18,2018-06-08T08:26:24Z,0,0,C++,True,True,
